objectid,ID,Geocódigo,Município,shape,st_area(shape),st_length(shape)
1,402,2600054,Abreu e Lima,,0.010347204852193115,0.8126135200581416
2,403,2600104,Afogados da Ingazeira,,0.030958574525496087,0.974395572867669
12,413,2601052,Araçoiaba,,0.007901093060589401,0.5164285999470641
3,404,2600203,Afrânio,,0.12244322323624661,2.1307877972384954
4,405,2600302,Agrestina,,0.01654072248475936,0.7542881933163352
33,434,2603108,Cachoeirinha,,0.014720102944749899,0.6348950879082607
5,406,2600401,Água Preta,,0.04382264563589017,1.2657418736038746
6,407,2600500,Águas Belas,,0.07286890672807556,1.4431876296282051
7,408,2600609,Alagoinha,,0.017887796688996926,0.6347149127680611
39,440,2603603,Camutanga,,0.003072995723991268,0.3250489990768616
8,409,2600708,Aliança,,0.02235304136187661,0.8117889347845478
9,410,2600807,Altinho,,0.03732099453721912,0.9566921047369098
10,411,2600906,Amaraji,,0.01928785395796439,0.6473584218507797
11,412,2601003,Angelim,,0.009702886886989524,0.5426986281039616
13,414,2601102,Araripina,,0.15508810811175783,1.8476275127125796
14,415,2601201,Arcoverde,,0.02880740630790347,0.9270477178955151
15,416,2601300,Barra de Guabiraba,,0.009412898822446772,0.5020794379459435
16,417,2601409,Barreiros,,0.019180015711197766,0.9051096935570943
17,418,2601508,Belém de Maria,,0.006057273512252922,0.5277268338929673
18,419,2601607,Belém do São Francisco,,0.15037530944270402,2.1108376874582397
19,420,2601706,Belo Jardim,,0.05315626464382983,1.560279371775452
20,421,2601805,Betânia,,0.10210244729330058,1.4153709697704489
21,422,2601904,Bezerros,,0.04027720158676339,1.0835392440165743
22,423,2602001,Bodocó,,0.132476512793173,1.9822324584948718
34,435,2603207,Caetés,,0.02707769027680532,0.9285914623165519
23,424,2602100,Bom Conselho,,0.06517469970989168,1.4998347512601393
24,425,2602209,Bom Jardim,,0.018295583819725136,0.9236545010028001
35,436,2603306,Calçado,,0.010020441513072327,0.5244893009957178
25,426,2602308,Bonito,,0.032487057508863916,1.2387403384819422
26,427,2602407,Brejão,,0.013139632207459832,0.5875741314479587
27,428,2602506,Brejinho,,0.008703317112549819,0.5877265081435549
28,429,2602605,Brejo da Madre de Deus,,0.06253729544159829,1.5232245377781832
29,430,2602704,Buenos Aires,,0.007638315553682694,0.4926630315500335
36,437,2603405,Calumbi,,0.014706948501162796,0.8899321787017616
37,438,2603454,Camaragibe,,0.004203876175993081,0.40429275744566506
38,439,2603504,Camocim de São Félix,,0.005949454457051552,0.428571043226536
30,431,2602803,Buíque,,0.10923887950349492,1.7201550141722235
31,432,2602902,Cabo de Santo Agostinho,,0.03682844907547186,1.2704412791748172
32,433,2603009,Cabrobó,,0.13609105623977982,1.8974103208633868
40,441,2603702,Canhotinho,,0.03477890892700347,1.206567676030088
41,442,2603801,Capoeiras,,0.027632336949750723,0.9254117152519049
42,443,2603900,Carnaíba,,0.035070579256483866,1.143805706609123
43,444,2603926,Carnaubeira da Penha,,0.08248322871517912,1.334744548619325
44,445,2604007,Carpina,,0.011881891154438792,0.6217289778113327
47,448,2604205,Catende,,0.017026282121264395,1.0085587777445322
45,446,2604106,Caruaru,,0.07553960727657953,1.5580002633744443
46,447,2604155,Casinhas,,0.00949778827973012,0.5360234857522876
55,456,2605004,Cupira,,0.00867035201736516,0.4669106262262482
48,449,2604304,Cedro,,0.012193694269194255,0.5826578783062617
49,450,2604403,Chã de Alegria,,0.003981795899040197,0.35648398213663735
50,451,2604502,Chã Grande,,0.006962941702702811,0.4425693415972412
51,452,2604601,Condado,,0.007345529568578668,0.45598941309410446
52,453,2604700,Correntes,,0.027032476205553976,0.9171897361018714
53,454,2604809,Cortês,,0.008318610049175725,0.6355120605312857
54,455,2604908,Cumaru,,0.02397047306545231,0.7866654827579999
56,457,2605103,Custódia,,0.11521186083046032,1.7934474991008056
57,458,2605152,Dormentes,,0.12626670485771366,1.7501841577120223
58,459,2605202,Escada,,0.028482644456463705,1.081967044201461
59,460,2605301,Exu,,0.10957584335221392,1.4635535875012982
60,461,2605400,Feira Nova,,0.008834437325629243,0.43157662580435807
61,462,2605459,Fernando de Noronha,,0.001385541358394011,0.3352065470498201
62,463,2605509,Ferreiros,,0.007319491297977704,0.460545300497603
63,464,2605608,Flores,,0.08164253127420823,1.3293848688712546
65,466,2605806,Frei Miguelinho,,0.017443153850764698,0.6308785030747766
66,467,2605905,Gameleira,,0.021025395841801624,0.8648562146702339
64,465,2605707,Floresta,,0.29930758142634284,3.562407152916914
88,489,2607901,Jaboatão dos Guararapes,,0.021225383230908536,0.7667491114321295
67,468,2606002,Garanhuns,,0.037697977339678806,1.296271244548916
68,469,2606101,Glória do Goitá,,0.01901502546566393,0.704619296048917
89,490,2607950,Jaqueira,,0.00716596252223915,0.5126462587078467
69,470,2606200,Goiana,,0.041125884841366415,1.0736676420976436
70,471,2606309,Granito,,0.042786855301973174,0.9051196714119802
71,472,2606408,Gravatá,,0.04158568844177826,0.9753822513633283
93,494,2608206,Joaquim Nabuco,,0.010011919980651348,0.5126563484071334
72,473,2606507,Iati,,0.05224567631578366,1.3967339036045632
73,474,2606606,Ibimirim,,0.15659296894323244,2.0190513315747394
74,475,2606705,Ibirajuba,,0.015573959459335932,0.5969892660383365
104,505,2609006,Macaparana,,0.008852232124135509,0.4947406939238835
